month,month_label,feature_a,feature_b,pair_label,corr_value,abs_corr_value
APRIL_16,April 2016,cpm25,q2,cpm25 ~ q2,0.09106987115882664,0.09106987115882664
APRIL_16,April 2016,cpm25,t2,cpm25 ~ t2,-0.4928050103843961,0.4928050103843961
APRIL_16,April 2016,cpm25,u10,cpm25 ~ u10,-0.21915056711565034,0.21915056711565034
APRIL_16,April 2016,cpm25,v10,cpm25 ~ v10,-0.31470910145597747,0.31470910145597747
APRIL_16,April 2016,cpm25,swdown,cpm25 ~ swdown,-0.46202634644318014,0.46202634644318014
APRIL_16,April 2016,cpm25,pblh,cpm25 ~ pblh,-0.44981410586094606,0.44981410586094606
APRIL_16,April 2016,cpm25,psfc,cpm25 ~ psfc,0.10649848430613883,0.10649848430613883
APRIL_16,April 2016,cpm25,rain,cpm25 ~ rain,-0.06036703177341446,0.06036703177341446
APRIL_16,April 2016,cpm25,PM25,cpm25 ~ PM25,-0.15487039720991239,0.15487039720991239
APRIL_16,April 2016,cpm25,NH3,cpm25 ~ NH3,-0.1692137826573194,0.1692137826573194
APRIL_16,April 2016,cpm25,SO2,cpm25 ~ SO2,-0.17589126227443455,0.17589126227443455
APRIL_16,April 2016,cpm25,NOx,cpm25 ~ NOx,-0.13765691523746115,0.13765691523746115
APRIL_16,April 2016,cpm25,NMVOC_e,cpm25 ~ NMVOC_e,,
APRIL_16,April 2016,cpm25,NMVOC_finn,cpm25 ~ NMVOC_finn,-0.15899218378256955,0.15899218378256955
APRIL_16,April 2016,cpm25,bio,cpm25 ~ bio,-0.45278254253820616,0.45278254253820616
APRIL_16,April 2016,q2,t2,q2 ~ t2,-0.3966451140983395,0.3966451140983395
APRIL_16,April 2016,q2,u10,q2 ~ u10,-0.4273302508600661,0.4273302508600661
APRIL_16,April 2016,q2,v10,q2 ~ v10,0.24789323327962354,0.24789323327962354
APRIL_16,April 2016,q2,swdown,q2 ~ swdown,-0.3362779010939679,0.3362779010939679
APRIL_16,April 2016,q2,pblh,q2 ~ pblh,-0.5837203310281076,0.5837203310281076
APRIL_16,April 2016,q2,psfc,q2 ~ psfc,0.3320121548253057,0.3320121548253057
APRIL_16,April 2016,q2,rain,q2 ~ rain,0.06028122523362029,0.06028122523362029
APRIL_16,April 2016,q2,PM25,q2 ~ PM25,-0.528936576412303,0.528936576412303
APRIL_16,April 2016,q2,NH3,q2 ~ NH3,-0.5469818776244094,0.5469818776244094
APRIL_16,April 2016,q2,SO2,q2 ~ SO2,-0.5526401916733811,0.5526401916733811
APRIL_16,April 2016,q2,NOx,q2 ~ NOx,-0.49893968864916266,0.49893968864916266
APRIL_16,April 2016,q2,NMVOC_e,q2 ~ NMVOC_e,,
APRIL_16,April 2016,q2,NMVOC_finn,q2 ~ NMVOC_finn,-0.5357504697773462,0.5357504697773462
APRIL_16,April 2016,q2,bio,q2 ~ bio,-0.39603491272987457,0.39603491272987457
APRIL_16,April 2016,t2,u10,t2 ~ u10,0.7027261333630138,0.7027261333630138
APRIL_16,April 2016,t2,v10,t2 ~ v10,-0.13252032225546231,0.13252032225546231
APRIL_16,April 2016,t2,swdown,t2 ~ swdown,0.7431972831748377,0.7431972831748377
APRIL_16,April 2016,t2,pblh,t2 ~ pblh,0.936559707293115,0.936559707293115
APRIL_16,April 2016,t2,psfc,t2 ~ psfc,-0.08550541487852348,0.08550541487852348
APRIL_16,April 2016,t2,rain,t2 ~ rain,-0.07251709154982862,0.07251709154982862
APRIL_16,April 2016,t2,PM25,t2 ~ PM25,0.6218499927336234,0.6218499927336234
APRIL_16,April 2016,t2,NH3,t2 ~ NH3,0.6392352173118153,0.6392352173118153
APRIL_16,April 2016,t2,SO2,t2 ~ SO2,0.6440987258376948,0.6440987258376948
APRIL_16,April 2016,t2,NOx,t2 ~ NOx,0.6007809159351685,0.6007809159351685
APRIL_16,April 2016,t2,NMVOC_e,t2 ~ NMVOC_e,,
APRIL_16,April 2016,t2,NMVOC_finn,t2 ~ NMVOC_finn,0.6304393902931343,0.6304393902931343
APRIL_16,April 2016,t2,bio,t2 ~ bio,0.7554016626455292,0.7554016626455292
APRIL_16,April 2016,u10,v10,u10 ~ v10,-0.13342336644907188,0.13342336644907188
APRIL_16,April 2016,u10,swdown,u10 ~ swdown,0.6127022296723436,0.6127022296723436
APRIL_16,April 2016,u10,pblh,u10 ~ pblh,0.7022298606004154,0.7022298606004154
APRIL_16,April 2016,u10,psfc,u10 ~ psfc,-0.36372880378888706,0.36372880378888706
APRIL_16,April 2016,u10,rain,u10 ~ rain,-0.08813978499819952,0.08813978499819952
APRIL_16,April 2016,u10,PM25,u10 ~ PM25,0.6467296668886762,0.6467296668886762
APRIL_16,April 2016,u10,NH3,u10 ~ NH3,0.6571266797927305,0.6571266797927305
APRIL_16,April 2016,u10,SO2,u10 ~ SO2,0.6621815547080203,0.6621815547080203
APRIL_16,April 2016,u10,NOx,u10 ~ NOx,0.6280464378100353,0.6280464378100353
APRIL_16,April 2016,u10,NMVOC_e,u10 ~ NMVOC_e,,
APRIL_16,April 2016,u10,NMVOC_finn,u10 ~ NMVOC_finn,0.6480569223706704,0.6480569223706704
APRIL_16,April 2016,u10,bio,u10 ~ bio,0.6200281616432377,0.6200281616432377
APRIL_16,April 2016,v10,swdown,v10 ~ swdown,-0.175194587990917,0.175194587990917
APRIL_16,April 2016,v10,pblh,v10 ~ pblh,-0.09495222316649785,0.09495222316649785
APRIL_16,April 2016,v10,psfc,v10 ~ psfc,-0.21021073615981611,0.21021073615981611
APRIL_16,April 2016,v10,rain,v10 ~ rain,0.05938890185253473,0.05938890185253473
APRIL_16,April 2016,v10,PM25,v10 ~ PM25,-0.30839422091098534,0.30839422091098534
APRIL_16,April 2016,v10,NH3,v10 ~ NH3,-0.2978206593873872,0.2978206593873872
APRIL_16,April 2016,v10,SO2,v10 ~ SO2,-0.2916813214240091,0.2916813214240091
APRIL_16,April 2016,v10,NOx,v10 ~ NOx,-0.3232506249572743,0.3232506249572743
APRIL_16,April 2016,v10,NMVOC_e,v10 ~ NMVOC_e,,
APRIL_16,April 2016,v10,NMVOC_finn,v10 ~ NMVOC_finn,-0.3062424444530365,0.3062424444530365
APRIL_16,April 2016,v10,bio,v10 ~ bio,-0.16502424906943505,0.16502424906943505
APRIL_16,April 2016,swdown,pblh,swdown ~ pblh,0.6228248720940648,0.6228248720940648
APRIL_16,April 2016,swdown,psfc,swdown ~ psfc,0.14766034703311648,0.14766034703311648
APRIL_16,April 2016,swdown,rain,swdown ~ rain,-0.06596552527739204,0.06596552527739204
APRIL_16,April 2016,swdown,PM25,swdown ~ PM25,0.6813655306511928,0.6813655306511928
APRIL_16,April 2016,swdown,NH3,swdown ~ NH3,0.6895659118284677,0.6895659118284677
APRIL_16,April 2016,swdown,SO2,swdown ~ SO2,0.6916202882806497,0.6916202882806497
APRIL_16,April 2016,swdown,NOx,swdown ~ NOx,0.6735972729673071,0.6735972729673071
APRIL_16,April 2016,swdown,NMVOC_e,swdown ~ NMVOC_e,,
APRIL_16,April 2016,swdown,NMVOC_finn,swdown ~ NMVOC_finn,0.6854834651570584,0.6854834651570584
APRIL_16,April 2016,swdown,bio,swdown ~ bio,0.9876358505709734,0.9876358505709734
APRIL_16,April 2016,pblh,psfc,pblh ~ psfc,-0.24959421611957947,0.24959421611957947
APRIL_16,April 2016,pblh,rain,pblh ~ rain,-0.05498280802740084,0.05498280802740084
APRIL_16,April 2016,pblh,PM25,pblh ~ PM25,0.644159073691085,0.644159073691085
APRIL_16,April 2016,pblh,NH3,pblh ~ NH3,0.666204324625452,0.666204324625452
APRIL_16,April 2016,pblh,SO2,pblh ~ SO2,0.6729075006066018,0.6729075006066018
APRIL_16,April 2016,pblh,NOx,pblh ~ NOx,0.6141191417747998,0.6141191417747998
APRIL_16,April 2016,pblh,NMVOC_e,pblh ~ NMVOC_e,,
APRIL_16,April 2016,pblh,NMVOC_finn,pblh ~ NMVOC_finn,0.6540423424082078,0.6540423424082078
APRIL_16,April 2016,pblh,bio,pblh ~ bio,0.6601415193436144,0.6601415193436144
APRIL_16,April 2016,psfc,rain,psfc ~ rain,0.009830526075265276,0.009830526075265276
APRIL_16,April 2016,psfc,PM25,psfc ~ PM25,0.027539496666314486,0.027539496666314486
APRIL_16,April 2016,psfc,NH3,psfc ~ NH3,0.010890594736699096,0.010890594736699096
APRIL_16,April 2016,psfc,SO2,psfc ~ SO2,0.00928945492700827,0.00928945492700827
APRIL_16,April 2016,psfc,NOx,psfc ~ NOx,0.047811987834906616,0.047811987834906616
APRIL_16,April 2016,psfc,NMVOC_e,psfc ~ NMVOC_e,,
APRIL_16,April 2016,psfc,NMVOC_finn,psfc ~ NMVOC_finn,0.014478689781786236,0.014478689781786236
APRIL_16,April 2016,psfc,bio,psfc ~ bio,0.11846612295533801,0.11846612295533801
APRIL_16,April 2016,rain,PM25,rain ~ PM25,-0.05547488882942089,0.05547488882942089
APRIL_16,April 2016,rain,NH3,rain ~ NH3,-0.05774366041442216,0.05774366041442216
APRIL_16,April 2016,rain,SO2,rain ~ SO2,-0.057137701525811393,0.057137701525811393
APRIL_16,April 2016,rain,NOx,rain ~ NOx,-0.05315241972055131,0.05315241972055131
APRIL_16,April 2016,rain,NMVOC_e,rain ~ NMVOC_e,,
APRIL_16,April 2016,rain,NMVOC_finn,rain ~ NMVOC_finn,-0.05828630165356834,0.05828630165356834
APRIL_16,April 2016,rain,bio,rain ~ bio,-0.06949717094696617,0.06949717094696617
APRIL_16,April 2016,PM25,NH3,PM25 ~ NH3,0.9987859822415531,0.9987859822415531
APRIL_16,April 2016,PM25,SO2,PM25 ~ SO2,0.9977546879432627,0.9977546879432627
APRIL_16,April 2016,PM25,NOx,PM25 ~ NOx,0.996766814329275,0.996766814329275
APRIL_16,April 2016,PM25,NMVOC_e,PM25 ~ NMVOC_e,,
APRIL_16,April 2016,PM25,NMVOC_finn,PM25 ~ NMVOC_finn,0.9976678767344062,0.9976678767344062
APRIL_16,April 2016,PM25,bio,PM25 ~ bio,0.7261129607068928,0.7261129607068928
APRIL_16,April 2016,NH3,SO2,NH3 ~ SO2,0.9992339174766159,0.9992339174766159
APRIL_16,April 2016,NH3,NOx,NH3 ~ NOx,0.992793221779693,0.992793221779693
APRIL_16,April 2016,NH3,NMVOC_e,NH3 ~ NMVOC_e,,
APRIL_16,April 2016,NH3,NMVOC_finn,NH3 ~ NMVOC_finn,0.998334365690248,0.998334365690248
APRIL_16,April 2016,NH3,bio,NH3 ~ bio,0.7374696662917435,0.7374696662917435
APRIL_16,April 2016,SO2,NOx,SO2 ~ NOx,0.9893392114351893,0.9893392114351893
APRIL_16,April 2016,SO2,NMVOC_e,SO2 ~ NMVOC_e,,
APRIL_16,April 2016,SO2,NMVOC_finn,SO2 ~ NMVOC_finn,0.9953193068320092,0.9953193068320092
APRIL_16,April 2016,SO2,bio,SO2 ~ bio,0.7396124019648022,0.7396124019648022
APRIL_16,April 2016,NOx,NMVOC_e,NOx ~ NMVOC_e,,
APRIL_16,April 2016,NOx,NMVOC_finn,NOx ~ NMVOC_finn,0.9954382196238449,0.9954382196238449
APRIL_16,April 2016,NOx,bio,NOx ~ bio,0.7140409903164455,0.7140409903164455
APRIL_16,April 2016,NMVOC_e,NMVOC_finn,NMVOC_e ~ NMVOC_finn,,
APRIL_16,April 2016,NMVOC_e,bio,NMVOC_e ~ bio,,
APRIL_16,April 2016,NMVOC_finn,bio,NMVOC_finn ~ bio,0.7328099204783016,0.7328099204783016
JULY_16,July 2016,cpm25,q2,cpm25 ~ q2,0.33013590335314136,0.33013590335314136
JULY_16,July 2016,cpm25,t2,cpm25 ~ t2,-0.1987752323579229,0.1987752323579229
JULY_16,July 2016,cpm25,u10,cpm25 ~ u10,0.35149311939077676,0.35149311939077676
JULY_16,July 2016,cpm25,v10,cpm25 ~ v10,0.07569651758630055,0.07569651758630055
JULY_16,July 2016,cpm25,swdown,cpm25 ~ swdown,-0.2955376205340344,0.2955376205340344
JULY_16,July 2016,cpm25,pblh,cpm25 ~ pblh,-0.2977299620743956,0.2977299620743956
JULY_16,July 2016,cpm25,psfc,cpm25 ~ psfc,-0.3432697332545715,0.3432697332545715
JULY_16,July 2016,cpm25,rain,cpm25 ~ rain,-0.005402776664426195,0.005402776664426195
JULY_16,July 2016,cpm25,PM25,cpm25 ~ PM25,-0.04284750200293357,0.04284750200293357
JULY_16,July 2016,cpm25,NH3,cpm25 ~ NH3,-0.04553676842272942,0.04553676842272942
JULY_16,July 2016,cpm25,SO2,cpm25 ~ SO2,-0.0848800763154438,0.0848800763154438
JULY_16,July 2016,cpm25,NOx,cpm25 ~ NOx,-0.06195479424522866,0.06195479424522866
JULY_16,July 2016,cpm25,NMVOC_e,cpm25 ~ NMVOC_e,,
JULY_16,July 2016,cpm25,NMVOC_finn,cpm25 ~ NMVOC_finn,-0.0491210449841946,0.0491210449841946
JULY_16,July 2016,cpm25,bio,cpm25 ~ bio,-0.26974743858454336,0.26974743858454336
JULY_16,July 2016,q2,t2,q2 ~ t2,0.04185359897507928,0.04185359897507928
JULY_16,July 2016,q2,u10,q2 ~ u10,0.6780813357154754,0.6780813357154754
JULY_16,July 2016,q2,v10,q2 ~ v10,0.5648929440314185,0.5648929440314185
JULY_16,July 2016,q2,swdown,q2 ~ swdown,-0.12574727083838685,0.12574727083838685
JULY_16,July 2016,q2,pblh,q2 ~ pblh,-0.08608947381163005,0.08608947381163005
JULY_16,July 2016,q2,psfc,q2 ~ psfc,-0.7230746467609951,0.7230746467609951
JULY_16,July 2016,q2,rain,q2 ~ rain,0.03802400865497188,0.03802400865497188
JULY_16,July 2016,q2,PM25,q2 ~ PM25,0.11286760036607488,0.11286760036607488
JULY_16,July 2016,q2,NH3,q2 ~ NH3,0.09347907569955871,0.09347907569955871
JULY_16,July 2016,q2,SO2,q2 ~ SO2,0.09640275644567328,0.09640275644567328
JULY_16,July 2016,q2,NOx,q2 ~ NOx,0.09759383130111826,0.09759383130111826
JULY_16,July 2016,q2,NMVOC_e,q2 ~ NMVOC_e,,
JULY_16,July 2016,q2,NMVOC_finn,q2 ~ NMVOC_finn,0.07806462259026825,0.07806462259026825
JULY_16,July 2016,q2,bio,q2 ~ bio,-0.11100313076555962,0.11100313076555962
JULY_16,July 2016,t2,u10,t2 ~ u10,0.38290895758374244,0.38290895758374244
JULY_16,July 2016,t2,v10,t2 ~ v10,-0.13582625964961795,0.13582625964961795
JULY_16,July 2016,t2,swdown,t2 ~ swdown,0.6933541683384983,0.6933541683384983
JULY_16,July 2016,t2,pblh,t2 ~ pblh,0.9694196563674627,0.9694196563674627
JULY_16,July 2016,t2,psfc,t2 ~ psfc,-0.23812691232564204,0.23812691232564204
JULY_16,July 2016,t2,rain,t2 ~ rain,-0.05546676935717523,0.05546676935717523
JULY_16,July 2016,t2,PM25,t2 ~ PM25,0.58555613064869,0.58555613064869
JULY_16,July 2016,t2,NH3,t2 ~ NH3,0.6172106164708984,0.6172106164708984
JULY_16,July 2016,t2,SO2,t2 ~ SO2,0.6213601208136263,0.6213601208136263
JULY_16,July 2016,t2,NOx,t2 ~ NOx,0.6085910436154445,0.6085910436154445
JULY_16,July 2016,t2,NMVOC_e,t2 ~ NMVOC_e,,
JULY_16,July 2016,t2,NMVOC_finn,t2 ~ NMVOC_finn,0.6228742423639086,0.6228742423639086
JULY_16,July 2016,t2,bio,t2 ~ bio,0.7345298937027416,0.7345298937027416
JULY_16,July 2016,u10,v10,u10 ~ v10,0.1904426706026911,0.1904426706026911
JULY_16,July 2016,u10,swdown,u10 ~ swdown,0.37655629741154717,0.37655629741154717
JULY_16,July 2016,u10,pblh,u10 ~ pblh,0.2901483751998232,0.2901483751998232
JULY_16,July 2016,u10,psfc,u10 ~ psfc,-0.6594721233743432,0.6594721233743432
JULY_16,July 2016,u10,rain,u10 ~ rain,-0.0030870775719204937,0.0030870775719204937
JULY_16,July 2016,u10,PM25,u10 ~ PM25,0.3456044409223879,0.3456044409223879
JULY_16,July 2016,u10,NH3,u10 ~ NH3,0.33681779159845743,0.33681779159845743
JULY_16,July 2016,u10,SO2,u10 ~ SO2,0.3451083281299157,0.3451083281299157
JULY_16,July 2016,u10,NOx,u10 ~ NOx,0.3395479401377795,0.3395479401377795
JULY_16,July 2016,u10,NMVOC_e,u10 ~ NMVOC_e,,
JULY_16,July 2016,u10,NMVOC_finn,u10 ~ NMVOC_finn,0.3251671701972942,0.3251671701972942
JULY_16,July 2016,u10,bio,u10 ~ bio,0.39978287666946893,0.39978287666946893
JULY_16,July 2016,v10,swdown,v10 ~ swdown,-0.10723899336532194,0.10723899336532194
JULY_16,July 2016,v10,pblh,v10 ~ pblh,-0.19457512785607,0.19457512785607
JULY_16,July 2016,v10,psfc,v10 ~ psfc,-0.409488558900856,0.409488558900856
JULY_16,July 2016,v10,rain,v10 ~ rain,0.08182283751447494,0.08182283751447494
JULY_16,July 2016,v10,PM25,v10 ~ PM25,-0.0761915670794014,0.0761915670794014
JULY_16,July 2016,v10,NH3,v10 ~ NH3,-0.10974238179400486,0.10974238179400486
JULY_16,July 2016,v10,SO2,v10 ~ SO2,-0.08478083492855062,0.08478083492855062
JULY_16,July 2016,v10,NOx,v10 ~ NOx,-0.10123155256911703,0.10123155256911703
JULY_16,July 2016,v10,NMVOC_e,v10 ~ NMVOC_e,,
JULY_16,July 2016,v10,NMVOC_finn,v10 ~ NMVOC_finn,-0.13461583116966835,0.13461583116966835
JULY_16,July 2016,v10,bio,v10 ~ bio,-0.11823580918273582,0.11823580918273582
JULY_16,July 2016,swdown,pblh,swdown ~ pblh,0.6877336588274783,0.6877336588274783
JULY_16,July 2016,swdown,psfc,swdown ~ psfc,0.05734008545081903,0.05734008545081903
JULY_16,July 2016,swdown,rain,swdown ~ rain,-0.03721881220262641,0.03721881220262641
JULY_16,July 2016,swdown,PM25,swdown ~ PM25,0.5213730353042104,0.5213730353042104
JULY_16,July 2016,swdown,NH3,swdown ~ NH3,0.5328103604553955,0.5328103604553955
JULY_16,July 2016,swdown,SO2,swdown ~ SO2,0.5558677403973283,0.5558677403973283
JULY_16,July 2016,swdown,NOx,swdown ~ NOx,0.538208129859078,0.538208129859078
JULY_16,July 2016,swdown,NMVOC_e,swdown ~ NMVOC_e,,
JULY_16,July 2016,swdown,NMVOC_finn,swdown ~ NMVOC_finn,0.5325366119004671,0.5325366119004671
JULY_16,July 2016,swdown,bio,swdown ~ bio,0.9901219156285566,0.9901219156285566
JULY_16,July 2016,pblh,psfc,pblh ~ psfc,-0.13645709366395084,0.13645709366395084
JULY_16,July 2016,pblh,rain,pblh ~ rain,-0.055411306094680875,0.055411306094680875
JULY_16,July 2016,pblh,PM25,pblh ~ PM25,0.5616284089918948,0.5616284089918948
JULY_16,July 2016,pblh,NH3,pblh ~ NH3,0.5987315211174234,0.5987315211174234
JULY_16,July 2016,pblh,SO2,pblh ~ SO2,0.6044104230863978,0.6044104230863978
JULY_16,July 2016,pblh,NOx,pblh ~ NOx,0.5895472341255384,0.5895472341255384
JULY_16,July 2016,pblh,NMVOC_e,pblh ~ NMVOC_e,,
JULY_16,July 2016,pblh,NMVOC_finn,pblh ~ NMVOC_finn,0.6074320780122198,0.6074320780122198
JULY_16,July 2016,pblh,bio,pblh ~ bio,0.7297360841411663,0.7297360841411663
JULY_16,July 2016,psfc,rain,psfc ~ rain,-0.05674746097203131,0.05674746097203131
JULY_16,July 2016,psfc,PM25,psfc ~ PM25,-0.2651082874015974,0.2651082874015974
JULY_16,July 2016,psfc,NH3,psfc ~ NH3,-0.2545231318631402,0.2545231318631402
JULY_16,July 2016,psfc,SO2,psfc ~ SO2,-0.26108461202271094,0.26108461202271094
JULY_16,July 2016,psfc,NOx,psfc ~ NOx,-0.24844636246221302,0.24844636246221302
JULY_16,July 2016,psfc,NMVOC_e,psfc ~ NMVOC_e,,
JULY_16,July 2016,psfc,NMVOC_finn,psfc ~ NMVOC_finn,-0.23614308025509995,0.23614308025509995
JULY_16,July 2016,psfc,bio,psfc ~ bio,0.010687512465650332,0.010687512465650332
JULY_16,July 2016,rain,PM25,rain ~ PM25,-0.030107448326919476,0.030107448326919476
JULY_16,July 2016,rain,NH3,rain ~ NH3,-0.03275357564177037,0.03275357564177037
JULY_16,July 2016,rain,SO2,rain ~ SO2,-0.03140580814450153,0.03140580814450153
JULY_16,July 2016,rain,NOx,rain ~ NOx,-0.032258920051806146,0.032258920051806146
JULY_16,July 2016,rain,NMVOC_e,rain ~ NMVOC_e,,
JULY_16,July 2016,rain,NMVOC_finn,rain ~ NMVOC_finn,-0.034464117209299074,0.034464117209299074
JULY_16,July 2016,rain,bio,rain ~ bio,-0.039898049404570736,0.039898049404570736
JULY_16,July 2016,PM25,NH3,PM25 ~ NH3,0.9893644232807075,0.9893644232807075
JULY_16,July 2016,PM25,SO2,PM25 ~ SO2,0.9949735355182739,0.9949735355182739
JULY_16,July 2016,PM25,NOx,PM25 ~ NOx,0.9962473070239577,0.9962473070239577
JULY_16,July 2016,PM25,NMVOC_e,PM25 ~ NMVOC_e,,
JULY_16,July 2016,PM25,NMVOC_finn,PM25 ~ NMVOC_finn,0.9792551406978686,0.9792551406978686
JULY_16,July 2016,PM25,bio,PM25 ~ bio,0.57749357069551,0.57749357069551
JULY_16,July 2016,NH3,SO2,NH3 ~ SO2,0.9900633905549411,0.9900633905549411
JULY_16,July 2016,NH3,NOx,NH3 ~ NOx,0.9937321964114885,0.9937321964114885
JULY_16,July 2016,NH3,NMVOC_e,NH3 ~ NMVOC_e,,
JULY_16,July 2016,NH3,NMVOC_finn,NH3 ~ NMVOC_finn,0.9973284701516086,0.9973284701516086
JULY_16,July 2016,NH3,bio,NH3 ~ bio,0.5914538489836306,0.5914538489836306
JULY_16,July 2016,SO2,NOx,SO2 ~ NOx,0.9949219682463953,0.9949219682463953
JULY_16,July 2016,SO2,NMVOC_e,SO2 ~ NMVOC_e,,
JULY_16,July 2016,SO2,NMVOC_finn,SO2 ~ NMVOC_finn,0.9809580175522685,0.9809580175522685
JULY_16,July 2016,SO2,bio,SO2 ~ bio,0.6126473997666656,0.6126473997666656
JULY_16,July 2016,NOx,NMVOC_e,NOx ~ NMVOC_e,,
JULY_16,July 2016,NOx,NMVOC_finn,NOx ~ NMVOC_finn,0.9892704139593684,0.9892704139593684
JULY_16,July 2016,NOx,bio,NOx ~ bio,0.5953534792040638,0.5953534792040638
JULY_16,July 2016,NMVOC_e,NMVOC_finn,NMVOC_e ~ NMVOC_finn,,
JULY_16,July 2016,NMVOC_e,bio,NMVOC_e ~ bio,,
JULY_16,July 2016,NMVOC_finn,bio,NMVOC_finn ~ bio,0.5912012836743531,0.5912012836743531
OCT_16,October 2016,cpm25,q2,cpm25 ~ q2,-0.8377585106605598,0.8377585106605598
OCT_16,October 2016,cpm25,t2,cpm25 ~ t2,-0.6545976687690772,0.6545976687690772
